endlat,endlon
13.67955118,100.4240111
13.73538469,100.4889006
13.75425197,100.5227945
13.81574015,100.575946
13.85373902,100.6347749
13.8263416,100.640675
13.83022729,100.5534995
13.76678873,100.5276632
13.82014328,100.6376896
13.67517952,100.4278244
13.73914962,100.746581
13.72237333,100.7369496
13.71034869,100.611828
13.70422853,100.4067929
13.64651151,100.415675
13.64975288,100.4199679
13.65633497,100.4288783
13.6500097,100.4212741
13.64949748,100.4205869
13.63450837,100.402041
13.87859221,100.4097298
13.65538308,100.4285125
13.63511032,100.4018601
13.6860448,100.5479931
13.64995716,100.420525
13.6492966,100.4203062
13.68696671,100.521534
13.64909181,100.4200264
13.66575528,100.4443053
13.70014075,100.4839678
13.74253254,100.5513702
13.89126082,100.621141
13.8119919,100.5495106
13.80711823,100.6553112
13.81202856,100.5495217
13.95559351,100.8465915
13.90478496,100.6223529
13.89817865,100.6624624
13.899479,100.6309716
13.64751483,100.5961526
13.68301532,100.4911698
13.65197698,100.5981242
13.66564961,100.6433599
13.67264608,100.607965
13.65113234,100.5977788
13.68092951,100.6464357
13.59690108,100.6250769
13.64922942,100.5967875
13.69476764,100.7310258
13.62838242,100.6253713
13.69308603,100.751809
13.75630997,100.5412813
13.69268491,100.753514
13.6926786,100.7534421
13.70939594,100.7567803
13.69297741,100.7522444
13.7536954,100.5320847
13.77133303,100.5754888
13.70849081,100.6448434
13.81900993,100.5130158
13.824191,100.6157805
13.828067,100.552637
13.99547435,100.6654567
13.86494483,100.5902553
13.84647332,100.5611823
13.72156252,100.5464787
13.75395855,100.5419034
13.60358196,100.2852393
13.62558112,100.3141326
13.56536021,100.2720447
13.57843327,100.2909068
13.4755001,100.1037344
13.54312601,100.2404782
13.56538798,100.2720435
13.54881164,100.2739431
13.56521091,100.2720512
13.5651697,100.272053
13.63825798,100.2976881
13.6226879,100.2921682
13.58786212,100.3253515
13.60364159,100.7795486
13.64830851,100.6389725
13.65021271,100.6822492
13.68583236,100.7271664
13.63422171,100.7109339
13.61816644,100.7430294
13.63335474,100.7113243
13.6342196,100.710938
13.63432801,100.7107286
13.83604211,100.498736
13.88060568,100.4340597
13.84558262,100.4787214
13.84482762,100.4796046
13.8500942,100.4907476
13.84314552,100.4939009
13.85168519,100.5170123
13.8235609,100.5263465
13.77948884,100.6468603
13.87697307,100.5500086
13.76162043,100.6365373
13.76603222,100.6553916
13.78430261,100.6123824
13.77154902,100.4883893
13.76161684,100.6368538
13.7089105,100.5995365
13.67447227,100.60013
13.74961064,100.5435096
13.61685409,100.6528248
13.59649024,100.7445086
13.63206244,100.6296125
13.61458736,100.6205433
13.57595993,100.6044671
13.64030395,100.6353629
13.61911033,100.6224316
13.61689229,100.6213327
13.6189289,100.6223457
13.64300625,100.5939153
13.57518054,100.604789
13.58353633,100.6175942
13.57228115,100.5982413
13.58349038,100.6076991
13.5826157,100.6093705
13.58045407,100.6065357
13.57862275,100.6259054
13.58267512,100.6196121
13.55175094,100.615213
13.64401707,100.5994256
13.64630039,100.5957773
13.64623868,100.5957534
13.64604247,100.5958205
13.62288019,100.6358257
13.64934971,100.5970507
13.81290061,100.5499878
13.71144668,100.4176967
13.71082128,100.4100741
13.58931646,100.8301256
13.98518242,100.61815
13.87984083,100.609012
13.9323614,100.6443202
13.98753804,100.616946
13.99400002,100.6150432
13.98894637,100.6157189
13.98884948,100.6156222
13.99498005,100.6150395
13.99356,100.6150435
13.98706671,100.6287041
13.7615273,100.5050297
13.81894983,100.6247141
13.82417965,100.6155195
13.65009206,100.5936488
13.90580704,100.5236268
13.92088181,100.6021058
13.6707821,100.6209522
13.68725067,100.6098365
13.72187465,100.7740105
13.6269657,100.6280063
13.56544288,100.6703894
13.75338743,100.5358226
13.75394344,100.5407768
13.75357509,100.539638
13.69376461,100.6472563
13.75595103,100.7981786
13.73285633,100.5288167
13.71287602,100.6595237
13.75264506,100.6186601
13.67303122,100.5063173
13.68049998,100.4836382
13.679626,100.5474348
13.68048105,100.4833293
13.97818851,100.5911951
13.99100792,100.6150711
14.0109411,100.6155039
13.98735614,100.6089291
13.99128444,100.6148214
14.01674066,100.6156861
13.84810221,100.5609887
13.91494242,100.5984783
13.83733921,100.6755605
13.80195278,100.6479935
13.89061715,100.4084946
13.82463586,100.5916758
13.8449025,100.7875623
13.81735762,100.721717
13.83591602,100.697201
13.81570747,100.7469113
13.74766215,100.6966408
13.66342962,100.4405468
13.77481492,100.6693446
13.81145513,100.7373914
13.7771024,100.6483381
13.74453272,100.6433274
13.7370998,100.4358267
13.73316235,100.5984457
13.72224763,100.7360098
14.04270989,100.73678
13.74171419,100.5536233
13.74308801,100.5483711
13.75531926,100.5062259
